Bin,Category,Sub-category,Part #,Description,Cost,,
,"Resistors, Trim Potentiometers",20-turn,T20-10,"Trimmer, 20-turn, 10ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-20,"Trimmer, 20-turn, 20ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-50,"Trimmer, 20-turn, 50ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-100,"Trimmer, 20-turn, 100ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-200,"Trimmer, 20-turn, 200ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-500,"Trimmer, 20-turn, 500ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-1k,"Trimmer, 20-turn, 1k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-2k,"Trimmer, 20-turn, 2k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-5k,"Trimmer, 20-turn, 5k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-10k,"Trimmer, 20-turn, 10k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-20k,"Trimmer, 20-turn, 20k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-50k,"Trimmer, 20-turn, 50k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-100k," Trimmer, 20-turn, 100k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-200k,"Trimmer, 20-turn, 200k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-250k,"Trimmer, 20-turn, 250k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-500k,"Trimmer, 20-turn, 500k",$1.00 ,,
,"Resistors, Trim Potentiometers",20-turn,T20-1M,"Trimmer, 20-turn, 1M",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-100,"Trimmer, 3/4-turn, 100ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-200,"Trimmer, 3/4-turn, 200 ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-500,"Trimmer, 3/4-turn, 500ohm",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-1k,"Trimmer, 3/4-turn, 1k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-2k,"Trimmer, 3/4-turn, 2k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-5k,"Trimmer, 3/4-turn, 5k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-10k,"Trimmer, 3/4-turn, 10K",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-20k,"Trimmer, 3/4-turn, 20k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-25k,"Trimmer, 3/4-turn, 25k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-50k,"Trimmer, 3/4-turn, 50k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-100k,"Trimmer, 3/4-turn, 100k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-200k,"Trimmer, 3/4-turn, 200k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-250k,"Trimmer, 3/4-turn, 250k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-500k,"Trimmer, 3/4-turn, 500k",$1.00 ,,
,"Resistors, Trim Potentiometers",3/4-turn,T34-1M,"Trimmer, 3/4-turn, 1M",$1.00 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-47,"DIP Resistors, 47ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-100,"DIP Resistors, 100ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-150,"DIP Resistors, 150ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-220,"DIP Resistors, 200ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-270,"DIP Resistors, 270ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-330,"DIP Resistors, 330ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-470,"DIP Resistors, 470ohm, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-1k,"DIP Resistors, 1k, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-3k3,"DIP Resistors, 3k3, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-4k7,"DIP Resistors, 4k7, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-10k,"DIP Resistors, 10k, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-100k,"DIP Resistors, 100k, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistors",RD1-220k,"DIP Resistors, 220k, 8 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-47,"DIP Resistor Network, 47ohm, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-100,"DIP Resistor Network, 100ohm, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-470,"DIP Resistor Network, 470ohm, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-1k,"DIP Resistor Network, 1k, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-4k7,"DIP Resistor Network, 4k7, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-10k,"DIP Resistor Network, 10k, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-47k,"DIP Resistor Network, 47k, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","DIP, DIP Resistor Network",RD2-220k,"DIP Resistor Network, 220k, 15 resistors, 16 pin",$0.70 ,,
,"Resistors, DIP, & SIP","SIP, SIP Resistor",RS1-330,"SIP Resistor, 330ohm",$0.40 ,,
